query,actual_intent,predicted_intent
Nike shoes,product_search,product_search
Black hoodies,product_search,product_search
Wireless headphones,product_search,product_search
Running shoes,product_search,product_search
Men's jackets,product_search,product_search
Winter jackets,product_search,product_search
Adidas sneakers,product_search,product_search
Kids shoes,product_search,product_search
Do you have black Nike shoes?,product_search,product_search
Show me available hoodies.,product_search,product_search
Do you sell wireless headphones?,product_search,product_search
I'm looking for running shoes in size 9.,product_search,product_search
Can you show me winter jackets for men?,product_search,product_search
Do you have any blue hoodies in stock?,product_search,product_search
What laptop bags do you carry?,product_search,product_search
Is this jacket available in medium?,product_search,product_search
Do you have Adidas sneakers?,product_search,product_search
Can I see your collection of women's dresses?,product_search,product_search
Do you sell sunglasses?,product_search,product_search
What colors does this t-shirt come in?,product_search,product_search
"Hey, can you help me find some black sneakers?",product_search,product_search
I'm trying to find a good pair of wireless earbuds.,product_search,product_search
I was wondering if you have any waterproof jackets.,product_search,product_search
Could you help me find hoodies for winter?,product_search,product_search
I'm looking for something comfortable to wear at the gym.,product_search,product_search
Do you guys carry any Nike running shoes?,product_search,product_search
"I need a new backpack for college, what do you have?",product_search,product_search
Could you show me some options for formal shirts?,product_search,product_search
"I'm searching for a birthday gift, maybe a watch?",product_search,product_search
Any chance you have leather handbags in stock?,product_search,product_search
Got any black Nike shoes?,product_search,product_search
U guys sell hoodies?,product_search,product_search
Any good headphones?,product_search,product_search
Wat shoes u got in stock,product_search,product_search
Got sneakers in size 10?,product_search,product_search
Any deals on jackets rn?,product_search,product_search
U sell bags?,product_search,product_search
Cheap sunglasses available?,product_search,product_search
Do you have Puma running shoes?,product_search,product_search
Looking for a red backpack.,product_search,product_search
Show me formal shoes for men.,product_search,product_search
Do you have wireless Bluetooth speakers?,product_search,product_search
"I need a wallet, what options do you have?",product_search,product_search
Do you carry plus-size clothing?,product_search,product_search
What watches do you have?,product_search,product_search
Do you have leather wallets?,product_search,product_search
Any beanies available?,product_search,product_search
Do you sell scarves?,product_search,product_search
Is this jacket back in stock?,product_search,product_search
Do you have this in a bigger size?,product_search,product_search
Are these shoes still available in black?,product_search,product_search
Can I check if you have this product in stock?,product_search,product_search
Do you have any jackets for under $100?,product_search,product_search
Do you have any shoes similar to this style?,product_search,product_search
do you hav black nike shoes,product_search,product_search
lookin for wireles headphones,product_search,product_search
any hoddies available,product_search,product_search
What is available in your shoe collection?,product_search,product_search
"I want to buy a gift for my mother, any suggestions?",product_search,product_search
Show me your bestselling products.,product_search,product_search
Payment options,payment_information,payment_information
Accepted payment methods,payment_information,payment_information
Cash on delivery?,payment_information,purchase_return
eSewa accepted?,payment_information,payment_information
Card payments?,payment_information,payment_information
Payment methods,payment_information,payment_information
Do you accept credit cards?,payment_information,payment_information
Can I pay using eSewa?,payment_information,payment_information
Do you accept Khalti for payments?,payment_information,payment_information
What payment methods do you support?,payment_information,payment_information
Can I use my debit card to pay?,payment_information,payment_information
Do you accept Mastercard?,payment_information,payment_information
Is online payment available?,payment_information,payment_information
Can I pay with Visa card?,payment_information,payment_information
Do you offer cash on delivery?,payment_information,payment_information
Which payment options are available at checkout?,payment_information,payment_information
Can I pay through mobile banking?,payment_information,payment_information
Do you accept international credit cards?,payment_information,payment_information
I wanted to know if you accept eSewa.,payment_information,payment_information
Could you tell me what payment methods you support?,payment_information,payment_information
I'm wondering if cash on delivery is available.,payment_information,payment_information
Can you let me know if I can pay by card?,payment_information,payment_information
I'd like to know if Khalti works on your site.,payment_information,payment_information
Just checking if you take Mastercard.,payment_information,payment_information
Would it be possible to pay through bank transfer?,payment_information,payment_information
I'm curious whether you support UPI payments.,payment_information,payment_information
Can I pay cash?,payment_information,payment_information
U guys take esewa?,payment_information,payment_information
Card payment ok?,payment_information,payment_information
Cod available?,payment_information,payment_information
Can i pay online,payment_information,payment_information
Do u accept khalti,payment_information,payment_information
Is Fonepay supported?,payment_information,payment_information
Do you accept American Express?,payment_information,payment_information
Can I split payment between card and cash?,payment_information,payment_information
Is there a payment gateway fee?,payment_information,payment_information
Do you support installment payments?,payment_information,payment_information
Can I pay using a gift card?,payment_information,payment_information
Can I pay for my order using eSewa?,payment_information,payment_information
Is cash on delivery available for my order?,payment_information,payment_information
Can I change my payment method after placing an order?,payment_information,payment_information
Will I be charged again if payment fails?,payment_information,payment_information
Do you charge extra for card payments on orders?,payment_information,payment_information
do u accept esewa,payment_information,payment_information
can i pay cod,payment_information,payment_information
Track my order,order_tracking,order_tracking
Order status,order_tracking,order_tracking
Where's my package?,order_tracking,order_tracking
Track order #f7bdc831,order_tracking,order_tracking
My order status,order_tracking,order_tracking
Package location,order_tracking,order_tracking
Order #3e33c066 status,order_tracking,order_tracking
Where is my order?,order_tracking,order_tracking
Can you tell me where my order is?,order_tracking,order_tracking
Has my order been shipped yet?,order_tracking,order_tracking
What is the status of order #6e585dd8?,order_tracking,order_tracking
When will my order arrive?,order_tracking,order_tracking
Can you check the status of my package?,order_tracking,order_tracking
Track order #a92cf104.,order_tracking,order_tracking
Has my package been dispatched?,order_tracking,order_tracking
Why hasn't my order arrived yet?,order_tracking,order_tracking
Can you give me an update on my shipment?,order_tracking,order_tracking
Is my order still in transit?,order_tracking,order_tracking
Where is my package right now?,order_tracking,order_tracking
Can I get tracking information for order #d10be773?,order_tracking,order_tracking
Could you check where my package is?,order_tracking,order_tracking
"Hey, I wanted to know where my order is.",order_tracking,order_tracking
Can you help me find out what's happening with my delivery?,order_tracking,order_tracking
I'm wondering why my package hasn't shown up yet.,order_tracking,order_tracking
Could you look up the status of order #4b7ec990 for me?,order_tracking,order_tracking
"I placed an order last week, any update on it?",order_tracking,order_tracking
Can you tell me if my parcel has left the warehouse?,order_tracking,order_tracking
"I'm a bit worried, my order seems delayed.",order_tracking,order_tracking
Could you confirm if my shipment left today?,order_tracking,order_tracking
Any idea when my delivery will show up?,order_tracking,order_tracking
Where's my stuff?,order_tracking,order_tracking
My order still not here,order_tracking,order_tracking
Wheres my package,order_tracking,order_tracking
Order still not delivered?,order_tracking,order_tracking
Y is my order late,order_tracking,order_tracking
Any update on my delivery?,order_tracking,order_tracking
Package still on the way?,order_tracking,order_tracking
What's the status of order #2f88ac31?,order_tracking,order_tracking
"Order #e015cc4a, any update?",order_tracking,order_tracking
Please check order #90bd1a7e.,order_tracking,order_tracking
Can you locate order #c3fa2209?,order_tracking,order_tracking
Order #715e0dbf tracking please.,order_tracking,order_tracking
Status update for order #b4409ee1?,order_tracking,order_tracking
Where is order #58aa60c7 right now?,order_tracking,order_tracking
Has my paid order been shipped?,order_tracking,order_tracking
Why is my order still processing after payment?,order_tracking,order_tracking
How long until my order arrives?,order_tracking,order_tracking
Is my order delayed because of the weekend?,order_tracking,order_tracking
Where is my order that I placed yesterday?,order_tracking,order_tracking
My order has been stuck at the same status for days.,order_tracking,order_tracking
where is my oder,order_tracking,order_tracking
track my ordr plz,order_tracking,order_tracking
Can I get real-time tracking for my shipment?,order_tracking,order_tracking
"My tracking number isn't updating, what's going on?",order_tracking,order_tracking
Has my package cleared customs yet?,order_tracking,order_tracking
Return policy,purchase_return,purchase_return
Refund process,purchase_return,purchase_return
Exchange item,purchase_return,purchase_return
Return this item,purchase_return,purchase_return
Refund status,purchase_return,purchase_return
Return period,purchase_return,purchase_return
Product replacement,purchase_return,purchase_return
Can I return this shirt?,purchase_return,purchase_return
How do I get a refund?,purchase_return,purchase_return
What is your return policy?,purchase_return,purchase_return
Can I exchange this product for a different size?,purchase_return,purchase_return
"The product arrived damaged, what should I do?",purchase_return,purchase_return
How many days do I have to return an item?,purchase_return,purchase_return
Can I get a replacement for a defective product?,purchase_return,purchase_return
"I received the wrong item, can I send it back?",purchase_return,purchase_return
How do I request a refund for my order?,purchase_return,purchase_return
Can I return an item without the original packaging?,purchase_return,purchase_return
Is there a fee for returning products?,purchase_return,purchase_return
Can I exchange this for a different color?,purchase_return,purchase_return
What is the process for returning a damaged product?,purchase_return,purchase_return
I wanted to ask about returning something I bought.,purchase_return,purchase_return
Could you help me exchange this jacket for a bigger size?,purchase_return,purchase_return
"I received a broken item, what are my options?",purchase_return,purchase_return
"I'm not happy with this product, can I send it back?",purchase_return,purchase_return
Could you explain how refunds work here?,purchase_return,purchase_return
I'd like to return this because it doesn't fit.,purchase_return,purchase_return
Can you guide me through the exchange process?,purchase_return,purchase_return
"I think I got the wrong size, what can I do?",purchase_return,purchase_return
"My order arrived in bad condition, can I return it?",purchase_return,purchase_return
Can i retun this,purchase_return,purchase_return
Wanna send this back,purchase_return,purchase_return
"This is defective, wat now",purchase_return,purchase_return
Can i swap this for another size,purchase_return,purchase_return
"Not happy with this, refund pls",purchase_return,purchase_return
"Wrong item sent, need refund",purchase_return,purchase_return
"This broke already, replacement?",purchase_return,purchase_return
How long does a refund take to process?,purchase_return,purchase_return
Can I get store credit instead of a refund?,purchase_return,purchase_return
Is it possible to exchange instead of returning?,purchase_return,purchase_return
Do I need the receipt to return an item?,purchase_return,purchase_return
Can I return an item bought during a sale?,purchase_return,purchase_return
What items are not eligible for return?,purchase_return,purchase_return
Can I return a gift I received?,purchase_return,purchase_return
Can I return my order?,purchase_return,purchase_return
I want to cancel and return my recent order.,purchase_return,purchase_return
Can I get a refund if my order arrives late?,purchase_return,purchase_return
"My order was delivered but it's the wrong product, can I return it?",purchase_return,purchase_return
Can I exchange an item from order #6e585dd8?,purchase_return,purchase_return
can i retun this item,purchase_return,purchase_return
refund proccess pls,purchase_return,purchase_return
Store location,general_faq,general_faq
Opening hours,general_faq,general_faq
Support hours,general_faq,general_faq
Contact number,general_faq,general_faq
Delivery areas,general_faq,general_faq
Shipping charges,general_faq,general_faq
Nearby store,general_faq,product_search
Where is your store located?,general_faq,general_faq
What are your opening hours?,general_faq,general_faq
How can I contact customer support?,general_faq,general_faq
How long does delivery take?,general_faq,general_faq
Do you deliver outside Kathmandu?,general_faq,general_faq
What are your customer service hours?,general_faq,general_faq
Do you have a physical store I can visit?,general_faq,product_search
What is your delivery charge?,general_faq,general_faq
Do you ship to other cities?,general_faq,general_faq
What is your customer support phone number?,general_faq,general_faq
Do you have a store in Pokhara?,general_faq,general_faq
How can I reach your support team?,general_faq,general_faq
What areas do you currently deliver to?,general_faq,general_faq
I wanted to know your store's opening hours.,general_faq,general_faq
Could you tell me where your shop is located?,general_faq,general_faq
I'm curious how long shipping usually takes.,general_faq,general_faq
Can you tell me if you deliver to Lalitpur?,general_faq,general_faq
I'd like to know your customer service hours.,general_faq,general_faq
Could you share your contact details?,general_faq,general_faq
I was wondering if you have a store near me.,general_faq,product_search
Can you tell me about your delivery charges?,general_faq,general_faq
I'd like to know if you ship internationally.,general_faq,general_faq
Wats ur store hours,general_faq,general_faq
U guys deliver outside ktm?,general_faq,general_faq
How do i contact support,general_faq,general_faq
Wats the delivery charge,general_faq,general_faq
Store open on sundays?,general_faq,general_faq
Hows long does shipping take,general_faq,general_faq
Any store near me?,general_faq,product_search
Do you have a customer care email?,general_faq,general_faq
What are your holiday operating hours?,general_faq,general_faq
Is there a delivery fee for orders under a certain amount?,general_faq,general_faq
Do you offer same-day delivery?,general_faq,general_faq
Can I visit your warehouse?,general_faq,general_faq
Do you have a live chat support option?,general_faq,general_faq
What cities do you currently operate in?,general_faq,general_faq
How long does delivery usually take?,general_faq,general_faq
Do you deliver on weekends?,general_faq,general_faq
What is your general shipping policy?,general_faq,general_faq
Do you offer free shipping on all orders?,general_faq,general_faq
Is there a minimum order amount for free delivery?,general_faq,general_faq
wat r ur store timings,general_faq,general_faq
hw do i contact suport,general_faq,general_faq
