id,intent,raw_text,clean_text
222,general_faq,What are your customer service hours?,what are your customer service hours
41,product_search,Do you have wireless Bluetooth speakers?,do you have wireless bluetooth speakers
229,general_faq,What areas do you currently deliver to?,what areas do you currently deliver to
158,order_tracking,"My tracking number isn't updating, what's going on?",my tracking number isnt updating whats going on
143,order_tracking,"Order #e015cc4a, any update?",order e015cc4a any update
211,general_faq,Opening hours,opening hours
156,order_tracking,track my ordr plz,track my ordr plz
240,general_faq,U guys deliver outside ktm?,u guys deliver outside ktm
104,payment_information,can i pay cod,can i pay cod
86,payment_information,Can I pay cash?,can i pay cash
110,order_tracking,Package location,package location
199,purchase_return,Do I need the receipt to return an item?,do i need the receipt to return an item
33,product_search,Wat shoes u got in stock,wat shoes u got in stock
120,order_tracking,Why hasn't my order arrived yet?,why hasnt my order arrived yet
243,general_faq,Store open on sundays?,store open on sundays
166,purchase_return,Product replacement,product replacement
195,purchase_return,"This broke already, replacement?",this broke already replacement
74,payment_information,Do you offer cash on delivery?,do you offer cash on delivery
49,product_search,Do you have this in a bigger size?,do you have this in a bigger size
123,order_tracking,Where is my package right now?,where is my package right now
121,order_tracking,Can you give me an update on my shipment?,can you give me an update on my shipment
223,general_faq,Do you have a physical store I can visit?,do you have a physical store i can visit
79,payment_information,Could you tell me what payment methods you support?,could you tell me what payment methods you support
214,general_faq,Delivery areas,delivery areas
32,product_search,Any good headphones?,any good headphones
239,general_faq,Wats ur store hours,wats ur store hours
202,purchase_return,Can I return a gift I received?,can i return a gift i received
131,order_tracking,Can you tell me if my parcel has left the warehouse?,can you tell me if my parcel has left the warehouse
90,payment_information,Can i pay online,can i pay online
15,product_search,Is this jacket available in medium?,is this jacket available in medium
69,payment_information,What payment methods do you support?,what payment methods do you support
65,payment_information,Payment methods,payment methods
11,product_search,I'm looking for running shoes in size 9.,im looking for running shoes in size 9
108,order_tracking,Track order #f7bdc831,track order f7bdc831
182,purchase_return,"I received a broken item, what are my options?",i received a broken item what are my options
257,general_faq,Is there a minimum order amount for free delivery?,is there a minimum order amount for free delivery
144,order_tracking,Please check order #90bd1a7e.,please check order 90bd1a7e
184,purchase_return,Could you explain how refunds work here?,could you explain how refunds work here
187,purchase_return,"I think I got the wrong size, what can I do?",i think i got the wrong size what can i do
250,general_faq,Can I visit your warehouse?,can i visit your warehouse
37,product_search,Cheap sunglasses available?,cheap sunglasses available
24,product_search,I'm looking for something comfortable to wear at the gym.,im looking for something comfortable to wear at the gym
141,order_tracking,Package still on the way?,package still on the way
155,order_tracking,where is my oder,where is my oder
16,product_search,Do you have Adidas sneakers?,do you have adidas sneakers
70,payment_information,Can I use my debit card to pay?,can i use my debit card to pay
227,general_faq,Do you have a store in Pokhara?,do you have a store in pokhara
154,order_tracking,My order has been stuck at the same status for days.,my order has been stuck at the same status for days
137,order_tracking,Wheres my package,wheres my package
133,order_tracking,Could you confirm if my shipment left today?,could you confirm if my shipment left today
75,payment_information,Which payment options are available at checkout?,which payment options are available at checkout
17,product_search,Can I see your collection of women's dresses?,can i see your collection of womens dresses
72,payment_information,Is online payment available?,is online payment available
45,product_search,Do you have leather wallets?,do you have leather wallets
114,order_tracking,Has my order been shipped yet?,has my order been shipped yet
36,product_search,U sell bags?,u sell bags
63,payment_information,eSewa accepted?,esewa accepted
147,order_tracking,Status update for order #b4409ee1?,status update for order b4409ee1
59,product_search,Show me your bestselling products.,show me your bestselling products
134,order_tracking,Any idea when my delivery will show up?,any idea when my delivery will show up
145,order_tracking,Can you locate order #c3fa2209?,can you locate order c3fa2209
84,payment_information,Would it be possible to pay through bank transfer?,would it be possible to pay through bank transfer
172,purchase_return,How many days do I have to return an item?,how many days do i have to return an item
58,product_search,"I want to buy a gift for my mother, any suggestions?",i want to buy a gift for my mother any suggestions
146,order_tracking,Order #715e0dbf tracking please.,order 715e0dbf tracking please
153,order_tracking,Where is my order that I placed yesterday?,where is my order that i placed yesterday
60,payment_information,Payment options,payment options
85,payment_information,I'm curious whether you support UPI payments.,im curious whether you support upi payments
7,product_search,Kids shoes,kids shoes
52,product_search,Do you have any jackets for under $100?,do you have any jackets for under 100
94,payment_information,Can I split payment between card and cash?,can i split payment between card and cash
3,product_search,Running shoes,running shoes
213,general_faq,Contact number,contact number
218,general_faq,What are your opening hours?,what are your opening hours
216,general_faq,Nearby store,nearby store
34,product_search,Got sneakers in size 10?,got sneakers in size 10
127,order_tracking,Can you help me find out what's happening with my delivery?,can you help me find out whats happening with my delivery
225,general_faq,Do you ship to other cities?,do you ship to other cities
142,order_tracking,What's the status of order #2f88ac31?,whats the status of order 2f88ac31
212,general_faq,Support hours,support hours
159,order_tracking,Has my package cleared customs yet?,has my package cleared customs yet
236,general_faq,I was wondering if you have a store near me.,i was wondering if you have a store near me
30,product_search,Got any black Nike shoes?,got any black nike shoes
247,general_faq,What are your holiday operating hours?,what are your holiday operating hours
5,product_search,Winter jackets,winter jackets
209,purchase_return,refund proccess pls,refund proccess pls
